,post_text
0,"Chambre salon a l'étage a l'intérieur du quartier de Gonzague ville motard petit paris
Loyer motard
Tel 0103901766"
1,"- Grand Studio américain disponible à marcory remblais au 1 er étage DWC, cuisine, placard,grand balcon vide
NB: VIDÉO DISPONIBLE
LOYER:125.000f

- Grand Studio américain disponible à Koumassi remblais carrefourPlus colombe au rez-de-chaussée DWC, cuisine, placard, vide
LOYER : 100.000f

- Appartement 3 pièces disponible à marcory remblais au 1 er étage 2 douches, 2 wc, cuisine, placard ,balcon intérieur
NB: VIDÉO DISPONIBLE
LOYER : 175.000f
CONTACT :07-49-38-16-96/05-85-35-69-10"
2,"Ma cliente veut un studio au 2 plateaux Gonzague
0500309770
Urgent"
3,"2 pièces 170000f situé à angre 7e tranche derrière le 22e arrondissement
Loyer:170000f
05-56-48-83-02
Nb: une seule salle d'eau."
4,"Angré château secteur institut théologie accès super facile

Un grand studio américain de haut standing caméra de surveillance service gardiennage et d'entretien à 100%

Loyer 120.000f client voir ils prend viens avec ton direct svp/0709024783"
5,"Appartement 2 pièces de 120.000f / 5 mois à angré château vers terrain sotra.
/0709024783"
6,"Appartement 2 pièces de 120.000f / 5 mois à angré château vers terrain sotra.
/0709024783"
7,"En location 2 pièces de 45.000f ,de 40.000f,de 50.000f, studio de35.000f, de 30.000f, de 75.000f 2 pièces numéro 0704651768 à port Bouet adjouffou casier quartier belle ville 5 mois de cautions"
8,"À abobo 4 pièces et 3 pièces sur un 600m2 ,300m2 occupé et 300m2 libre en garantie pour 10.000.000f et en retour pour 15.000.000f et aussi 500m2 en garantie à Jacques ville à 7.000.000f en retour avec 50 pour cent avec ACD pour 1 ans numéro 0704651768"
9,"Maison basse nouvelle construction ndotre château dans le quartier situé avant le stade olympique ebimpe prêt habiter
*2 pièces 40.000f*6 avec placard ya l'eau et courant
*3 pièces 90.000f*5 ,2 dwc,cour avant , arrière,ya l'eau et courant
0759421468"
10,"YOPOUGON KOWEÏT CITÉ NESTLÉ STUDIO 50.000 OU 45.000 TRAVAUX (0143125105/
0544890758)"
11,"Appartement de 3 pièces à 140.000 f / 5 mois à angré château dans le quartier derrière église uesso.
0709024783"
