loyer,nombre_piece,annee_publication,jour_publication,mois_publication,type_logement,standing,commune,quartier,nb_loyer,lien
-1.0,-1.0,2021.0,4.0,8.0,immeuble,indisponible,gonzague,indisponible,-1.0,https://facebook.com/716175952319410/posts/903604706909866
75000.0,2.0,2023.0,22.0,2.0,appartement,indisponible,indisponible,indisponible,-1.0,https://facebook.com/716175952319410/posts/1295834214353578
999.5,3.0,2023.0,22.0,2.0,immeuble,indisponible,koumassi,indisponible,-1.0,https://facebook.com/716175952319410/posts/1295582734378726
160000.0,3.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/716175952319410/posts/1295263954410604
55000.0,2.0,2023.0,22.0,2.0,immeuble,indisponible,indisponible,indisponible,-1.0,https://facebook.com/716175952319410/posts/1295258847744448
80000.0,-1.0,2023.0,21.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/716175952319410/posts/1295239374413062
60000.0,2.0,2023.0,21.0,2.0,appartement,indisponible,indisponible,indisponible,-1.0,https://facebook.com/716175952319410/posts/1295116841091982
50000.0,2.0,2023.0,21.0,2.0,appartement,indisponible,indisponible,indisponible,-1.0,https://facebook.com/716175952319410/posts/1295087554428244
2000.0,2.0,2023.0,21.0,2.0,immeuble,indisponible,koumassi,indisponible,-1.0,https://facebook.com/716175952319410/posts/1294858547784478
60000.0,2.0,2023.0,20.0,2.0,appartement,indisponible,indisponible,indisponible,-1.0,https://facebook.com/716175952319410/posts/1294595094477490
75000.0,2.0,2023.0,20.0,2.0,appartement,indisponible,indisponible,indisponible,-1.0,https://facebook.com/716175952319410/posts/1294537904483209
45000.0,2.0,2023.0,20.0,2.0,indisponible,indisponible,gonzague,indisponible,-1.0,https://facebook.com/716175952319410/posts/1294478554489144
75000.0,2.0,2023.0,20.0,2.0,appartement,indisponible,indisponible,indisponible,-1.0,https://facebook.com/716175952319410/posts/1294411197829213
300000.0,2.0,2023.0,20.0,2.0,appartement,indisponible,indisponible,indisponible,-1.0,https://facebook.com/716175952319410/posts/1294269381176728
50000.0,2.0,2023.0,20.0,2.0,indisponible,indisponible,gonzague,indisponible,-1.0,https://facebook.com/716175952319410/posts/1294240024512997
230000.0,-1.0,2023.0,22.0,2.0,appartement,indisponible,koumassi,indisponible,-1.0,https://facebook.com/271673048071162/posts/689590866279376
230000.0,-1.0,2023.0,22.0,2.0,appartement,indisponible,koumassi,indisponible,-1.0,https://facebook.com/271673048071162/posts/689590859612710
5000.0,-1.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/271673048071162/posts/689476739624122
70000.0,-1.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/271673048071162/posts/689583929613403
80000.0,-1.0,2023.0,19.0,2.0,indisponible,indisponible,koumassi,indisponible,-1.0,https://facebook.com/271673048071162/posts/687472086491254
-1.0,-1.0,2023.0,22.0,2.0,indisponible,indisponible,koumassi,indisponible,-1.0,https://facebook.com/271673048071162/posts/689268312978298
10000.0,-1.0,2023.0,21.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/271673048071162/posts/688615019710294
230000.0,-1.0,2023.0,22.0,2.0,appartement,indisponible,koumassi,indisponible,-1.0,https://facebook.com/271673048071162/posts/689264192978710
10000.0,-1.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/271673048071162/posts/689287612976368
10000.0,-1.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/271673048071162/posts/689222069649589
70000.0,-1.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/271673048071162/posts/689582456280217
2000.0,3.0,2023.0,22.0,2.0,immeuble,indisponible,indisponible,indisponible,-1.0,https://facebook.com/271673048071162/posts/689581269613669
230000.0,3.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/271673048071162/posts/689578886280574
-1.0,3.0,2023.0,22.0,2.0,immeuble,indisponible,indisponible,indisponible,-1.0,https://facebook.com/271673048071162/posts/689575326280930
60000.0,3.0,2023.0,12.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/122946726348599/posts/656258133017453
-1.0,4.0,2023.0,22.0,2.0,immeuble,indisponible,indisponible,indisponible,-1.0,https://facebook.com/122946726348599/posts/664662905510309
130000.0,-1.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/122946726348599/posts/664662845510315
-1.0,-1.0,2023.0,22.0,2.0,immeuble,indisponible,indisponible,indisponible,-1.0,https://facebook.com/122946726348599/posts/664662788843654
70000.0,-1.0,2023.0,22.0,2.0,immeuble,indisponible,indisponible,indisponible,-1.0,https://facebook.com/122946726348599/posts/664601985516401
50000.0,4.0,2023.0,22.0,2.0,appartement,indisponible,indisponible,indisponible,-1.0,https://facebook.com/122946726348599/posts/664661062177160
500000.0,2.0,2023.0,21.0,2.0,appartement,indisponible,indisponible,indisponible,-1.0,https://facebook.com/122946726348599/posts/663745148935418
-1.0,-1.0,2023.0,22.0,2.0,immeuble,indisponible,indisponible,indisponible,-1.0,https://facebook.com/122946726348599/posts/664661985510401
250000.0,3.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/122946726348599/posts/664279312215335
300000.0,4.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/122946726348599/posts/664661165510483
-1.0,-1.0,2023.0,22.0,2.0,immeuble,indisponible,indisponible,indisponible,-1.0,https://facebook.com/122946726348599/posts/664660475510552
10000.0,-1.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/122946726348599/posts/664660408843892
60000.0,2.0,2023.0,22.0,2.0,appartement,indisponible,indisponible,indisponible,-1.0,https://facebook.com/122946726348599/posts/664125398897393
70000.0,2.0,2023.0,22.0,2.0,appartement,indisponible,indisponible,indisponible,-1.0,https://facebook.com/122946726348599/posts/664316345544965
5000.0,-1.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/2846273362275508/posts/3544662005769970
20000.0,-1.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/2846273362275508/posts/3544620259107478
10000.0,2.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/2846273362275508/posts/3544517419117762
-1.0,-1.0,2023.0,22.0,2.0,immeuble,indisponible,indisponible,indisponible,-1.0,https://facebook.com/2846273362275508/posts/3544469269122577
10000.0,4.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/2846273362275508/posts/3544396115796559
5990.0,-1.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/2846273362275508/posts/3544393455796825
10000.0,4.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/2846273362275508/posts/3544390585797112
10000.0,-1.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/2846273362275508/posts/3544365689132935
-1.0,,2023.0,22.0,2.0,indisponible,indisponible,koumassi,indisponible,-1.0,https://facebook.com/2846273362275508/posts/3544317675804403
10000.0,-1.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/2846273362275508/posts/3544278785808292
20000.0,-1.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/2846273362275508/posts/3544270092475828
60000.0,3.0,2023.0,22.0,2.0,appartement,indisponible,indisponible,indisponible,-1.0,https://facebook.com/2846273362275508/posts/3544256205810550
250000.0,3.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/700424108048768/posts/918409882916855
20000.0,-1.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/700424108048768/posts/918393429585167
2250575987200.0,-1.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/700424108048768/posts/918360699588440
10000.0,-1.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/700424108048768/posts/918299949594515
10000.0,-1.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/700424108048768/posts/918299539594556
10000.0,-1.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/700424108048768/posts/918299456261231
10000.0,-1.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/700424108048768/posts/918298646261312
10000.0,-1.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/700424108048768/posts/918297802928063
5000.0,5.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/700424108048768/posts/918279879596522
10000.0,-1.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/700424108048768/posts/918255079599002
70000.0,3.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/700424108048768/posts/918252589599251
40000.0,-1.0,2023.0,17.0,2.0,maison basse,indisponible,koumassi,indisponible,-1.0,https://facebook.com/271673048071162/posts/686311953273934
170000.0,-1.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/271673048071162/posts/689595789612217
170000.0,-1.0,2023.0,22.0,2.0,indisponible,indisponible,indisponible,indisponible,-1.0,https://facebook.com/271673048071162/posts/689593459612450
