loyer,nombre_piece,annee_publication,jour_publication,mois_publication,type_logement,standing,commune,quartier,nb_loyer,lien
0103901766,,2021.0,4.0,8.0,immeuble,,gonzague,,,https://facebook.com/716175952319410/posts/903604706909866
75.000,2,2023.0,22.0,2.0,appartement,,,,,https://facebook.com/716175952319410/posts/1295834214353578
,,2023.0,22.0,2.0,,,,,,https://facebook.com/716175952319410/posts/1295808497689483
LOYER:230.000f,3,2023.0,22.0,2.0,immeuble,,koumassi,,,https://facebook.com/716175952319410/posts/1295582734378726
,,2023.0,22.0,2.0,,,koumassi,,,https://facebook.com/716175952319410/posts/1295576247712708
3pieces160.000,,2023.0,22.0,2.0,,,,,,https://facebook.com/716175952319410/posts/1295263954410604
,,2023.0,22.0,2.0,,,,,,https://facebook.com/716175952319410/posts/1295260777744255
2Pieces55.000,,2023.0,22.0,2.0,immeuble,,,,,https://facebook.com/716175952319410/posts/1295258847744448
,,2023.0,21.0,2.0,immeuble,,,,,https://facebook.com/716175952319410/posts/1295253551078311
80.000,,2023.0,21.0,2.0,,,,,,https://facebook.com/716175952319410/posts/1295239374413062
,,2023.0,21.0,2.0,appartement,,,,,https://facebook.com/716175952319410/posts/1295046254432374
,2,2023.0,21.0,2.0,appartement,,,,,https://facebook.com/716175952319410/posts/1295116841091982
50.000,2,2023.0,21.0,2.0,appartement,,,,,https://facebook.com/716175952319410/posts/1295087554428244
2,2,2023.0,21.0,2.0,immeuble,,koumassi,,,https://facebook.com/716175952319410/posts/1294858547784478
,,2023.0,21.0,2.0,immeuble,,,,,https://facebook.com/716175952319410/posts/1294650887805244
,2,2023.0,20.0,2.0,appartement,,,,,https://facebook.com/716175952319410/posts/1294595094477490
75.000,2,2023.0,20.0,2.0,appartement,,,,,https://facebook.com/716175952319410/posts/1294537904483209
45.000f,2,2023.0,20.0,2.0,,,gonzague,,,https://facebook.com/716175952319410/posts/1294478554489144
75.000,2,2023.0,20.0,2.0,appartement,,,,,https://facebook.com/716175952319410/posts/1294411197829213
